종목코드,종목명
069140.KQ,누리플랜
040160.KQ,누리플렉스
332290.KQ,누보
348340.KQ,뉴로메카
060260.KQ,뉴보텍
463020.KQ,뉴엔AI
123840.KQ,뉴온
012340.KQ,뉴인텍
462310.KQ,뉴키즈온
270870.KQ,뉴트리
144960.KQ,뉴파워프라즈마
085670.KQ,뉴프렉스
064260.KQ,다날
340360.KQ,다보링크
039560.KQ,다산네트웍스
154040.KQ,다산솔루에타
032190.KQ,다우데이타
323350.KQ,다원넥스뷰
068240.KQ,다원시스
464580.KQ,닷밀
020400.KQ,대동금속
008830.KQ,대동기어
048470.KQ,대동스틸
004780.KQ,대륙제관
017650.KQ,대림제지
389260.KQ,대명에너지
317850.KQ,대모
290670.KQ,대보마그네틱
078140.KQ,대봉엘에스
065150.KQ,대산F&B
036480.KQ,대성미생물
027830.KQ,대성창투
104040.KQ,대성파인텍
129920.KQ,대성하이텍
457630.KQ,대신밸런스제16호스팩
471050.KQ,대신밸런스제17호스팩
478780.KQ,대신밸런스제18호스팩
482690.KQ,대신밸런스제19호스팩
020180.KQ,대신정보통신
045390.KQ,대아티아이
108380.KQ,대양전기공업
007680.KQ,대원
048910.KQ,대원미디어
005710.KQ,대원산업
290380.KQ,대유
120240.KQ,대정화금
003310.KQ,대주산업
078600.KQ,대주전자재료
393970.KQ,대진첨단소재
096350.KQ,대창솔루션
140520.KQ,대창스틸
131220.KQ,대한과학
010170.KQ,대한광통신
054670.KQ,대한뉴팜
023910.KQ,대한약품
021040.KQ,대호특수강
021045.KQ,대호특수강우
067080.KQ,대화제약
298540.KQ,더네이쳐홀딩스
032860.KQ,더라미
214610.KQ,더바이오메드
393890.KQ,더블유씨피
299170.KQ,더블유에스아이
462860.KQ,더즌
224060.KQ,더코디
043090.KQ,더테크놀로지
213420.KQ,덕산네오룩스
317330.KQ,덕산테코피아
077360.KQ,덕산하이메탈
090410.KQ,덕신이피씨
263600.KQ,덕우전자
194480.KQ,데브시스터즈
373160.KQ,데이원컴퍼니
263800.KQ,데이타솔루션
206560.KQ,덱스터
261200.KQ,덴티스
067990.KQ,도이치모터스
006620.KQ,동구바이오제약
100130.KQ,동국S&C
005160.KQ,동국산업
303810.KQ,동국생명과학
075970.KQ,동국알앤에스
086450.KQ,동국제약
240550.KQ,동방메디컬
099410.KQ,동방선기
033500.KQ,동성화인텍
025950.KQ,동신건설
088130.KQ,동아엘텍
041930.KQ,동아화성
060380.KQ,동양에스텍
079960.KQ,동양이엔피
228340.KQ,동양파일
088910.KQ,동우팜투테이블
094170.KQ,동운아나텍
013120.KQ,동원개발
109860.KQ,동일금속
032960.KQ,동일기연
023790.KQ,동일스틸럭스
005290.KQ,동진쎄미켐
025900.KQ,동화기업
131970.KQ,두산테스나
073190.KQ,듀오백
176750.KQ,듀켐바이오
030350.KQ,드래곤플라이
203650.KQ,드림시큐리티
223250.KQ,드림씨아이에스
060570.KQ,드림어스컴퍼니
362990.KQ,드림인사이트
016670.KQ,디모아
187870.KQ,디바이스
489730.KQ,디비금융제13호스팩
110990.KQ,디아이티
263690.KQ,디알젬
214680.KQ,디알텍
347850.KQ,디앤디파마텍
263720.KQ,디앤씨미디어
376300.KQ,디어유
109740.KQ,디에스케이
031860.KQ,디에이치엑스컴퍼니
196490.KQ,디에이테크놀로지
066900.KQ,디에이피
092070.KQ,디엔에프
039840.KQ,디오
219550.KQ,디와이디
310870.KQ,디와이씨
104460.KQ,디와이피엔에프
079810.KQ,디이엔티
113810.KQ,디젠스
043360.KQ,디지아이
197140.KQ,디지캡
068930.KQ,디지털대성
033130.KQ,디지틀조선
105740.KQ,디케이락
263020.KQ,디케이앤디
290550.KQ,디케이티
066670.KQ,디티씨
187220.KQ,디티앤씨
383930.KQ,디티앤씨알오
131180.KQ,딜리
315640.KQ,딥노이드
223310.KQ,딥마인드
317120.KQ,라닉스
462510.KQ,라메디텍
042510.KQ,라온시큐어
232680.KQ,라온테크
418420.KQ,라온텍
300120.KQ,라온피플
171120.KQ,라이온켐텍
388790.KQ,라이콤
214260.KQ,라파스
171010.KQ,램테크놀러지
084650.KQ,랩지노믹스
217500.KQ,러셀
038390.KQ,레드캡투어
294140.KQ,레몬
443250.KQ,레뷰코퍼레이션
228670.KQ,레이
228850.KQ,레이언스
412350.KQ,레이저쎌
199550.KQ,레이저옵텍
281740.KQ,레이크머티리얼즈
277810.KQ,레인보우로보틱스
215100.KQ,로보로보
090360.KQ,로보스타
108490.KQ,로보티즈
900260.KQ,로스웰
067730.KQ,로지시스
071280.KQ,로체시스템즈
376900.KQ,로킷헬스케어
328130.KQ,루닛
038060.KQ,루멘스
474170.KQ,루미르
141080.KQ,리가켐바이오
058470.KQ,리노공업
016100.KQ,리더스코스메틱
012700.KQ,리드코프
302550.KQ,리메드
073570.KQ,리튬포어스
377450.KQ,리파인
277070.KQ,린드먼아시아
042500.KQ,링네트
193250.KQ,링크드
474650.KQ,링크솔루션
219420.KQ,링크제니시스
439090.KQ,마녀공장
195500.KQ,마니커에프앤지
377480.KQ,마음AI
305090.KQ,마이크로디지탈
098120.KQ,마이크로컨텍솔
424980.KQ,마이크로투나노
038290.KQ,마크로젠
267980.KQ,매일유업
005990.KQ,매일홀딩스
093520.KQ,매커스
100590.KQ,머큐리
067280.KQ,멀티캠퍼스
072870.KQ,메가스터디
215200.KQ,메가스터디교육
133750.KQ,메가엠디
446540.KQ,메가터치
235980.KQ,메드팩토
041920.KQ,메디아나
014100.KQ,메디앙스
054180.KQ,메디콕스
086900.KQ,메디톡스
078160.KQ,메디포스트
408920.KQ,메쎄이상
021880.KQ,메이슨캐피탈
140410.KQ,메지온
241770.KQ,메카로
059210.KQ,메타바이오메드
058110.KQ,멕아이씨에스
434480.KQ,모니터랩
080420.KQ,모다이노칩
417970.KQ,모델솔루션
080160.KQ,모두투어
087260.KQ,모바일어플라이언스
101330.KQ,모베이스
012860.KQ,모베이스전자
363260.KQ,모비데이즈
348030.KQ,모비릭스
250060.KQ,모비스
288980.KQ,모아데이타
142760.KQ,모아라이프플러스
033200.KQ,모아텍
333050.KQ,모코엠시스
118990.KQ,모트렉스
463480.KQ,모티브링크
006920.KQ,모헨즈
001810.KQ,무림SP
279600.KQ,미디어젠
095500.KQ,미래나노텍
254490.KQ,미래반도체
218150.KQ,미래생명자원
442900.KQ,미래에셋드림스팩1호
100790.KQ,미래에셋벤처투자
446190.KQ,미래에셋비전스팩2호
448830.KQ,미래에셋비전스팩3호
477380.KQ,미래에셋비전스팩4호
477470.KQ,미래에셋비전스팩5호
478440.KQ,미래에셋비전스팩6호
482680.KQ,미래에셋비전스팩7호
049950.KQ,미래컴퍼니
207760.KQ,미스터블루
059090.KQ,미코
201490.KQ,미투온
475460.KQ,미트박스
452200.KQ,민테크
206640.KQ,바디텍메드
018700.KQ,바른손
035620.KQ,바른손이앤에이
053030.KQ,바이넥스
301300.KQ,바이브컴퍼니
064550.KQ,바이오니아
314930.KQ,바이오다인
489460.KQ,바이오비쥬
086820.KQ,바이오솔루션
038460.KQ,바이오스마트
251120.KQ,바이오에프디엔씨
199730.KQ,바이오인프라
086040.KQ,바이오톡스텍
188040.KQ,바이오포트
099430.KQ,바이오플러스
032980.KQ,바이온
308080.KQ,바이젠셀
043150.KQ,바텍
323990.KQ,박셀바이오
267790.KQ,배럴
046310.KQ,백금T&A
331520.KQ,밸로프
199480.KQ,뱅크웨어글로벌
438700.KQ,버넥트
066410.KQ,버킷스튜디오
382900.KQ,범한퓨얼셀
206400.KQ,베노티앤알
019010.KQ,베뉴지
177350.KQ,베셀
457600.KQ,벡트
424760.KQ,벨로크
225530.KQ,보광산업
250000.KQ,보라티알
310210.KQ,보로노이
006910.KQ,보성파워텍
226340.KQ,본느
014470.KQ,부방
008470.KQ,부스타
338220.KQ,뷰노
100120.KQ,뷰웍스
406820.KQ,뷰티스킨
099390.KQ,브레인즈컴퍼니
064480.KQ,브리지텍
288330.KQ,브릿지바이오테라퓨틱스
365900.KQ,브이씨
089970.KQ,브이엠
251630.KQ,브이원텍
018290.KQ,브이티
478560.KQ,블랙야크아이앤씨
439580.KQ,블루엠텍
